Naziv projekta,Fond,Šifra operativnog programa,Operativni program,NUTSII,Županija,Korisnik,Osobni identifikacijski broj,Datum ugovaranja,Zaključni datum provedbe aktivnosti,Bespovratna sredstva,Ukupno prihvatljivi troškovi,,,,,
Pametno svjetlo – kontrolni sustav vanjske rasvjete,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,GRAD ZAGREB,EXTEH d.o.o. za proizvodnju i trgovinu ,94167807411,19.06.2013,19.06.2014,"744.433,94 €","875.804,65 €",,,,,
Opremanje razvojnog laboratorija i implementacija standarda,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,GRAD ZAGREB,PRIRODA LIJEČI d.o.o. za trgovinu ,62187931232,12.06.2013,12.06.2014,"765.918,13 €","996.381,10 €",,,,,
"Fond za ulaganje u znanost i inovacije, faza 1",Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,GRAD ZAGREB,"Ministarstvo znanosti, obrazovanja i sporta",49508397045,09.03.2009,18.12.2012,"7.655.470,35 €","7.655.470,35 €",,,,,
"Fond za ulaganje u znanost i inovacije, druga faza",Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,GRAD ZAGREB,"Ministarstvo znanosti, obrazovanja i sporta",49508397045,20.05.2011,27.04.2015,"2.140.085,01 €","2.140.085,01 €",,,,,
Inkubacijski centar za bioznanosti i komercijalizaciju tehnologija (BioCentar),Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,GRAD ZAGREB,"Ministarstvo znanosti, obrazovanja i sporta",49508397045,02.08.2012,15.09.2015,"118.610.548,79 €","118.610.548,79 €",,,,,
Kompetencijska mreža zasnovana na informacijsko-komunikacijskim tehnologijama za inovativne usluge namijenjene osobama sa složenim komunikacijskim potrebama,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,GRAD ZAGREB,Sveučilište u Zagrebu Fakultet elektrotehnike i računarstva ,57029260362,29.03.2013,29.03.2015,"4.210.720,01 €","5.876.790,02 €",,,,,
Povećanje EU konkurentnosti hrvatske industrije drvenih podova,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,GRAD ZAGREB,Sveučilište u Zagrebu Šumarski fakultet ,7699719217,02.04.2013,02.10.2014,"2.938.825,77 €","3.627.284,32 €",,,,,
Centar izvrsnosti za procjenu stanja konstrukcija,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,GRAD ZAGREB,Fakultet strojarstva i brodogradnje Sveučilišta u Zagrebu ,22910368449,14.04.2013,14.04.2015,"4.484.851,72 €","5.305.005,58 €",,,,,
Inovativni sustavi računalnog vida za siguran promet,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,GRAD ZAGREB,Sveučilište u Zagrebu Fakultet elektrotehnike i računarstva ,57029260362,29.03.2013,29.03.2015,"4.395.222,59 €","5.248.653,66 €",,,,,
Izgradnja podrške inovacijama kroz djelotvornu mrežu suradnje,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,GRAD ZAGREB,Sveučilište u Zagrebu ,36612267447,31.03.2013,31.03.2015,"5.081.356,47 €","6.083.999,59 €",,,,,
Kartiranje tehnologije na Sveučilištu u Zagrebu,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,GRAD ZAGREB,Sveučilište u Zagrebu ,36612267447,25.10.2010,25.04.2012,"1.845.615,57 €","1.845.615,57 €",,,,,
Osiguravanje grafičkih procesora kao resursa u području naprednog računarstva,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,GRAD ZAGREB,"Ministarstvo znanosti, obrazovanja i sporta",49508397045,07.07.2011,21.12.2012,"683.967,45 €","683.967,45 €",,,,,
"ENHEMS-zgrade - Unapređenje kapaciteta istraživanja, razvoja i transfera tehnologije vezanih uz sustave gospodarenja energijom u zgradama",Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,GRAD ZAGREB,Sveučilište u Zagrebu Fakultet elektrotehnike i računarstva ,57029260362,09.04.2013,31.07.2015,"3.668.752,16 €","4.359.258,73 €",,,,,
Izgradnja istraživačke infrastrukture za translacijsku medicinu i primijenjenu genomiku,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,GRAD ZAGREB,Institut Ruđer Bošković ,69715301002,21.10.2010,21.04.2012,"3.764.432,90 €","3.764.432,90 €",,,,,
Jačanje znanstveno-poslovne suradnje u području intraoperativne neurofiziologije u Hrvatskoj,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,GRAD ZAGREB,"Sveučilište u Splitu, Medicinski fakultet",2879747067,08.04.2013,08.04.2015,"2.637.153,13 €","3.119.783,63 €",,,,,
Razvoj inovacijskog sustava na Institutu Ruđer Bošković i Sveučilištu u Rijeci,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,GRAD ZAGREB,Institut Ruđer Bošković ,69715301002,21.10.2010,21.07.2012,"3.154.961,41 €","3.163.502,83 €",,,,,
Aditivne tehnologije za mala i srednje velika poduzeća,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,GRAD ZAGREB,FAKULTET STROJARSTVA I BRODOGRADNJE SVEUČILIŠTA U ZAGREBU ,22910368449,29.03.2013,29.03.2015,"4.226.742,89 €","5.001.470,66 €",,,,,
Istraživanje i promocija korištenja plitkih geotermalnih potencijala u Republici Hrvatskoj,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,GRAD ZAGREB,FAKULTET STROJARSTVA I BRODOGRADNJE SVEUČILIŠTA U ZAGREBU ,22910368449,03.06.2013,03.06.2015,"3.205.890,62 €","3.903.909,67 €",,,,,
Inovativna meteorološka podrška upravljanju energijom vjetra,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,GRAD ZAGREB,Državni hidrometeorološki zavod ,74660437164,09.04.2013,09.04.2015,"3.357.348,99 €","4.104.338,62 €",,,,,
Tehnologija električnih strojeva s trajnim magnetom za povećanje energetske učinkovitosti u električnoj vuči i brodskoj propulziji,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Continental Croatia,GRAD ZAGREB,Sveučilište u Zagrebu Fakultet elektrotehnike i računarstva ,57029260362,08.04.2013,08.04.2015,"1.818.760,07 €","2.141.229,16 €",,,,,
Sustav signalno sigurnosnih uređaja na zagrebačkom Glavnom kolodvoru,Europski fond za regionalni razvoj,TR,Promet,Continental Croatia,GRAD ZAGREB,"HŽ INFRASTRUKTURA d.o.o. za upravljanje, održavanje i izgradnju željezničke infrastrukture",39901919995,02.07.2008,21.06.2013,"143.228.910,00 €","143.228.910,00 €",,,,,
Omogućavanje jednakih mogućnosti zapošljavanja za osobe s invaliditetom uzrokovanih psihičkim poremećajem,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,"UDRUGA ZA ZAŠTITU I PROMICANJE MENTALNOG ZDRAVLJA ""SVITANJE""",89477585273,03.12.2010,03.12.2011,"919.149,55 €","1.154.420,42 €",,,,,
Radna sposobnost s invaliditetom,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,LADA društvo s ograničenom odgovornošću za profesionalnu rehabilitaciju i zapošljavanje invalida ,53038317655,10.06.2011,10.06.2012,"767.138,48 €","924.263,28 €",,,,,
"Da, ja to mogu",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,HRVATSKA UDRUGA PARAPLEGIČARA I TETRAPLEGIČARA ,24105496418,09.06.2011,09.06.2012,"624.995,28 €","762.189,35 €",,,,,
Agroturistički centar izvrsnosti - Hrvatsko iskustvo kao ideja za EU-model,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,POLJOPRIVREDNA ŠKOLA ,24154741411,27.09.2010,27.11.2011,"1.774.638,44 €","2.182.290,28 €",,,,,
Uvođenje modela virtualne radionice za dugotrajno nezaposlene osobe s invaliditetom s ciljem povećanja njihove zapošljivosti,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,URIHO - Ustanova za profesionalnu rehabilitaciju i zapošljavanje osoba s invaliditetom ,77931216562,03.12.2010,03.12.2011,"918.095,40 €","1.089.210,36 €",,,,,
S fleksibilnim pristupom učenju i inovacijama kurikuluma prema tržištu rada,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Elektrotehnička škola  ,96726537623,10.09.2010,10.09.2011,"2.177.470,06 €","2.561.729,48 €",,,,,
MA#ME – osnaživanje zatvorenica za roditeljsku ulogu i uključivanje na tržište rada,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Roditelji u akciji - RODA ,6947174377,10.02.2014,10.02.2016,"712.774,76 €","838.558,55 €",,,,,
Drugo lice invalidnosti,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Mreža udruga osoba s invaliditetom Dalmacije ,62105951124,10.02.2014,10.02.2015,"761.043,29 €","995.348,25 €",,,,,
Kvalitetna integracija izbjeglica,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Fantastično dobra institucija – FADE IN ,1617130836,28.02.2014,28.02.2015,"765.927,32 €","908.250,13 €",,,,,
CARE-A-NET: Zagovaračka mreža za mlade koji izlaze iz alternativne skrbi,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Rehabilitacijski centar za stres i traumu ,47481627827,10.02.2014,10.08.2015,"685.496,78 €","807.987,68 €",,,,,
Neka se i glas građana čuje,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Centar za mirovne studije ,8770925700,10.02.2014,10.08.2015,"765.861,30 €","1.117.556,28 €",,,,,
REYN-Hrvatska/ Mreža za podršku romskoj djeci u ranom djetinjstvu,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Pučko otvoreno učilište Korak po korak ,31390132309,10.02.2014,10.02.2016,"765.918,89 €","914.311,70 €",,,,,
Povećanje zapošljivosti stručnjaka pomagačkih struka,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,DRUŠTVO ZA PSIHOLOŠKU POMOĆ ,24731069425,21.09.2012,21.03.2014,"1.120.117,25 €","1.188.957,89 €",,,,,
Kapacitet za razvoj,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,"Hrvatski zavod za zapošljavanje, Područni ured Zagreb",91547293790,17.09.2013,17.09.2014,"181.770,43 €","245.801,80 €",,,,,
Ljudski resursi za inovativni razvoj,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Regionalna razvojna agencija Zagrebačke županije d.o.o. za promicanje regionalnog razvoja ,82789798563,26.08.2013,26.08.2014,"227.116,55 €","324.359,56 €",,,,,
Poticanje zapošljavanja mladih jačanjem njihovih kompetencija za stjecanje boljeg položaja na tržištu rada,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,HRVATSKI SAVEZ GLUHIH I NAGLUHIH ,62862237866,31.08.2013,31.08.2014,"513.483,38 €","548.241,97 €",,,,,
Stvaranje inovativnih mogućnosti za samozapošljavanje nezaposlenih  visokoobrazovanih žena s područja Grada Zagreba,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Grad Zagreb ,61817894937,23.09.2013,23.09.2014,"952.465,66 €","1.159.563,79 €",,,,,
4P - Model 4P = podrška + posloprimci + poslodavci + posao,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Centar za rehabilitaciju Silver ,51439010603,01.10.2013,01.01.2015,"1.786.217,31 €","1.946.618,75 €",,,,,
Karijera i obrazovanje u skladu – za sve,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Hrvatska zajednica pučkih otvorenih učilišta ,26670675421,26.01.2011,26.01.2012,"750.112,70 €","887.497,26 €",,,,,
Prilika za gimnazijalce odustale od studija,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Pučko otvoreno učilište Samobor ,37111215032,02.05.2011,02.05.2012,"657.430,50 €","807.158,33 €",,,,,
"Organizirano stanovanje za odrasle osobe s mentalnim oštećenjima uz potporu stručnih radnika u svrhu pružanja deistitucionaliziranog oblika socijalne skrbi, destigmatizacija, resocijalizacija, uključivanje u društvo",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,DOM ZA PSIHIČKI BOLESNE ODRASLE OSOBE TROGIR ,50259535567,21.05.2014,21.11.2015,"1.260.431,41 €","1.406.888,56 €",,,,,
Prema punim potencijalima – Volontiranje osnažuje ljude i zajednice,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Mreža mladih Hrvatske ,25858858563,10.03.2014,10.09.2015,"919.066,98 €","1.177.837,96 €",,,,,
Školski volonteri,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Forum za slobodu odgoja ,7853602203,10.03.2014,10.09.2015,"780.524,57 €","918.264,21 €",,,,,
Vol. UP  za volontiranje,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Hrvatski crveni križ ,72527253659,10.03.2014,10.09.2015,"765.512,95 €","900.603,47 €",,,,,
Osmišljavanje i razvoj preddiplomskog studija – Poduzetništvo u primjenjenoj umjetnosti i dizajnu,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Veleučilište Vern ,72704766886,27.06.2013,18.02.2015,"2.211.355,11 €","2.335.609,56 €",,,,,
Modernizacija doktorske izobrazbe kroz implementaciju HKO-a,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Sveučilište u Zagrebu ,36612267447,27.06.2013,18.02.2015,"2.029.793,16 €","2.229.806,82 €",,,,,
"Razvoj elemenata kvalifikacija, programa i kurikuluma u dijelu računalne kompetencije u osnovnoškolskom obrazovanju",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Hrvatska akademska i istraživačka mreža - CARNet ,58101996540,27.06.2013,18.02.2015,"3.043.845,72 €","3.346.356,37 €",,,,,
Afirmativna nastava i inovativno učenje i poučavanje u gimnazijama u okviru Hrvatskog kvalifikacijskog okvira,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,"V. gimnazija, Zagreb",82578349629,27.06.2013,18.02.2015,"2.882.046,08 €","3.377.925,55 €",,,,,
Osnaživanje škola za razvoj i implementaciju kurikuluma ,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Institut za društvena istraživanja u Zagrebu ,11986338639,27.06.2013,18.02.2015,"1.715.818,46 €","1.897.399,63 €",,,,,
Škola poduzetničke konkurentnosti na tržištu rada za gimnazijalce,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,"I. Gimnazija, Zagreb",167285641,27.06.2013,18.08.2014,"832.943,74 €","1.280.663,76 €",,,,,
MEDINFO – Razvoj kurikuluma za Interdisciplinarni poslijediplomski specijalistički studij medicinske informatike,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,"Fakultet organizacije i informatike, Sveučilište u Zagrebu",2024882310,27.06.2013,18.02.2015,"932.424,80 €","1.287.168,42 €",,,,,
Razvoj novih kurikuluma i izgradnja kapaciteta nastavnika veterine u Veterinarskoj školi u Zagrebu,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Veterinarska škola  ,56792211413,10.09.2010,10.09.2011,"1.597.839,89 €","2.037.541,31 €",,,,,
Stvaranje novih prilika u području računalstva i računalnog inženjerstva za gospodarstvo temeljeno na znanju ,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Tehnička škola Ruđera Boškovića ,49811265576,27.09.2010,27.11.2011,"2.224.552,92 €","2.632.918,61 €",,,,,
Modularni kurikulum za vježbeničke tvrtke,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Ekonomska škola Katarina Zrinski ,40935660435,27.09.2010,27.11.2011,"2.030.137,68 €","2.388.397,22 €",,,,,
Podizanje svijesti i učenje o obnovljivim izvorima energije ,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Srednja škola Oroslavje ,20950883747,27.09.2010,27.09.2011,"1.727.039,95 €","2.106.146,27 €",,,,,
Volontiranje – šansa za nove kompetencije,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Volonterski centar - Osijek ,64735588578,12.02.2015,12.06.2016,"1.114.877,37 €","1.173.678,73 €",,,,,
Multidimenzionalna analiza socijalne uključenosti djece s teškoćama i studenata s invaliditetom u obrazovnom procesu,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Hrvatski savez gluhoslijepih osoba Dodir ,48953641019,21.08.2013,21.11.2014,"1.030.442,70 €","1.304.522,94 €",,,,,
"Ispitivanje socijalne uključenosti i kvaliteta podrške u predškolskim, osnovnoškolskim i srednjoškolskim obrazovnim ustanovama za djecu i studente s poremećajima autističkog spektra (ASD) i poremećajem hiperaktivnosti i deficita pažnje(ADHD)",Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,"Sveučilište u Zagrebu, Edukacijsko-rehabilitacijski fakultet",34967762426,21.08.2013,21.02.2015,"843.495,12 €","1.082.792,18 €",,,,,
E-Quality: Povezivanje kvalitete i socijalne uključenosti u visokom obrazovanju u Hrvatskoj,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Institut za razvoj obrazovanja ,88292527040,21.08.2013,21.04.2015,"821.952,57 €","1.041.897,03 €",,,,,
Cjeloživotno slušanje,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Centar za odgoj i obrazovanje ˝Slava Raškaj˝ ,16745501648,21.08.2013,21.12.2014,"1.504.652,63 €","1.772.682,18 €",,,,,
Mreža rane podrške za bolju integraciju djece s poteškoćama u redovni obrazovni sustav,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Dječji vrtić „Gajnice“ ,69476494959,21.08.2013,21.11.2014,"760.252,47 €","969.709,74 €",,,,,
Čuješ li razliku?,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Osnovna škola Davorina Trstenjaka ,1292735134,21.08.2013,21.02.2015,"1.730.038,18 €","1.823.011,82 €",,,,,
Unapređivanje kvalitete studiranja za skupine studenata u nepovoljnom položaju kroz usluge studentskih savjetovališnih službi,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Sveučilište u Zagrebu ,36612267447,21.08.2013,21.02.2015,"1.837.382,05 €","1.938.575,72 €",,,,,
Podrška uključivanju djece s teškoćama u razvoju u redovne vrtiće u Hrvatskoj,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Hrvatska udruga za ranu intervenciju u djetinjstvu ,61696311437,21.08.2013,21.02.2015,"940.942,25 €","1.414.312,72 €",,,,,
Puž u školi,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,„PUŽ“-Udruga roditelja djece s posebnim potrebama  ,75502271466,21.08.2013,21.12.2014,"1.892.636,77 €","1.992.458,98 €",,,,,
Malim koracima do prave integracije,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Dječji vrtić Potočnica ,19262409274,21.08.2013,21.12.2014,"1.356.442,88 €","1.772.896,18 €",,,,,
Od jednakih prava do jednakih mogućnosti,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,GRAD ZAGREB ,61817894937,21.08.2013,21.11.2014,"1.120.817,61 €","1.359.555,54 €",,,,,
Cjeloživotnim obrazovanjem učitelja do škole za sve,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,IDEM - Hrvatska udruga za stručnu pomoć djeci s posebnim potrebama  ,22240978017,31.08.2010,31.08.2011,"724.794,89 €","852.699,84 €",,,,,
Uši širom otvorene – Jačanje kompetencija učenika s oštećenjem sluha i drugim poteškoćama,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,"Centar za odgoj i obrazovanje ""Slava Raškaj"" Zagreb",16745501648,31.08.2010,31.08.2011,"1.158.953,04 €","1.381.350,47 €",,,,,
Obrazovanje i osnaživanje učenika s tjelesnim oštećenjem i oštećenjem vida za integraciju na tržište rada,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Centar za odgoj i obrazovanje Dubrava ,31982620821,31.08.2010,31.10.2011,"2.137.026,58 €","2.529.025,57 €",,,,,
Brzina puža,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,"Udruga roditelja djece s posebnim potrebama ""Put u život""",75502271466, stvaranje potrebnih preduvjeta za transformaciju COO Dubrava u centar izvrsnosti u edukaciji i rehabilitaciji učenika s teškoćama u razvoju te stručno usavršavanje kadra. Ciljna skupina su učenici s teškoćama u razvoju u Centru za odgoj i obrazovanje Dubrava.,31.08.2010,31.10.2011,"1.832.044,97 €","2.226.868,79 €",,,,
Osposobljavanje na radnom mjestu za dugotrajno nezaposlene osobe s invaliditetom  - pilot projekt za pomoćne kuhare,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,URIHO - Ustanova za profesionalnu rehabilitaciju i zapošljavanje osoba s invaliditetom ,77931216562,13.04.2015,13.04.2016,"943.891,84 €","998.827,33 €",,,,,
MOĆ PROMJENE MLADIH,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,"UDRUGA ZA RAD S MLADIMA ""BREZA""",66302045356,04.03.2014,04.09.2015,"1.263.772,09 €","1.411.247,47 €",,,,,
Regionalna suradnja u kozmetici – put k tržištu rada,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Prirodoslovna škola Vladimira Preloga ,72166604204,11.11.2010,11.11.2011,"1.232.444,79 €","1.456.618,33 €",,,,,
Energetska učinkovitost – KNX model,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Elektrostrojarska obrtnička škola ,48544291322,21.09.2012,21.09.2013,"967.455,91 €","1.330.019,14 €",,,,,
Nutricionistički centar izvrsnosti,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Prehrambeno-tehnološka škola Zagreb ,63019353660,21.09.2012,21.09.2013,"1.309.579,00 €","1.958.981,32 €",,,,,
Eko vožnja je zakon!,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Škola za cestovni promet-Zagreb ,63422210966,21.09.2012,21.09.2013,"1.155.777,65 €","1.311.446,33 €",,,,,
Jačanje komunikacijskih kompetencija učenika srednjih ekonomskih škola,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Ekonomska i trgovačka škola Dubrovnik ,53031879715,21.09.2012,21.08.2013,"651.835,84 €","759.626,93 €",,,,,
Konkurentna mladež,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Hotelijersko-turistička škola Opatija ,88785560957,21.09.2012,21.09.2013,"990.159,38 €","1.286.255,35 €",,,,,
Medijska pismenost za 21. stoljeće,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Grafička škola u Zagrebu ,39884669514,21.09.2012,21.09.2013,"1.355.304,10 €","1.454.501,07 €",,,,,
Usvajanje principa HKO-a u sustavu visokog obrazovanja u sektoru turizma,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Visoka poslovna škola Libertas ,53610017022,27.06.2013,18.02.2015,"2.338.404,59 €","2.733.377,68 €",,,,,
Konkurentno hrvatsko visoko obrazovanje za bolju zapošljivost,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Agencija za znanost i visoko obrazovanje ,83358955356,27.06.2013,18.02.2015,"3.029.297,11 €","4.109.193,00 €",,,,,
Razvoj visokoobrazovnih standarda kvalifikacija i studijskih programa na osnovama HKO-a za sektor industrijske prerade drva,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,"Sveučilište u Zagrebu, Fakultet šumarstva Zagreb",7699719217,27.06.2013,18.02.2015,"2.266.500,15 €","3.457.138,72 €",,,,,
Informatička znanja za uspješnu i kreativnu budućnost (ICT4SCF),Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,OSNOVNA ŠKOLA EUGENA KUMIČIĆA ,77224465704,27.06.2013,18.09.2014,"1.484.596,14 €","1.564.214,64 €",,,,,
Višejezično obrazovanje – unaprjeđenje učenja jezika i interkulturalnih vještina,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Srednja škola Andrije Ljudevita Adamića ,28865157685,27.06.2013,18.02.2015,"1.609.193,42 €","1.696.030,20 €",,,,,
Stručnom potporom do obrazovanja za sve,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Centar inkluzivne potpore IDEM ,22240978017,21.08.2013,21.02.2015,"1.129.089,89 €","1.190.520,77 €",,,,,
Razvoj nacionalnog standarda kvalifikacije za učitelje kao podloge za uvođenje sustava licenciranja učitelja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Nacionalni centar za vanjsko vrednovanje obrazovanja ,94833993984,27.06.2013,18.02.2015,"1.766.221,02 €","2.576.168,33 €",,,,,
Sigurno do posla pod Dugom,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Dom za djecu i odrasle - žrtve obiteljskog nasilja Duga-Zagreb ,38198952349,03.09.2013,03.12.2014,"753.662,10 €","837.681,56 €",,,,,
Centar za podršku u zapošljavanju osoba s intelektualnim teškoćama,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,Centar za rehabilitaciju Zagreb ,32686631843,25.03.2013,25.06.2014,"793.373,12 €","954.606,13 €",,,,,
Zadruga SDDH,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,SAVEZ DRUŠTAVA DISTROFIČARA HRVATSKE ,8465235935,05.04.2013,05.04.2014,"738.278,47 €","943.969,43 €",,,,,
Za vaše uključivanje,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,GRAD ZAGREB,"Hrvatski zavod za zapošljavanje, Područni ured Sisak",91547293790,12.11.2014,12.03.2016,"821.815,01 €","907.080,56 €",,,,,
